id,title,lead_paragraph,source,category,y_true,y_pred,y_score,confidence_in_prediction,error_type,case_group,why_selected,analysis_note
article_1449,"Vì sao quả vải chín quá, nứt nẻ không nên ăn mà phải vứt đi?","Vải là loại quả ngon, giàu dinh dưỡng. Tuy nhiên nên ăn với lượng vừa, lựa chọn quả chín tươi ngon, loại bỏ các quả vải chín quá, dập nát để tránh nguy cơ ngộ độc",Thanh Niên,Sức khỏe & Đời sống,1,1,0.9431562773030232,0.9431562773030232,TP,correct_clickbait_high_confidence,High-confidence correct prediction for qualitative contrast.,
article_2048,Vì sao có những lỗ hổng lớn trên bầu trời thế giới?,"Hãy xem không phận thế giới hiển thị tất cả máy bay đang bay và thứ chúng ta thấy là: ngoài số lượng máy bay khổng lồ tập trung ở một số khu vực là những lỗ hổng khổng lồ trên bầu trời, nơi không thể tìm thấy chuyến bay nào.",Thanh Niên,Other,1,1,0.9290184917813183,0.9290184917813183,TP,correct_clickbait_high_confidence,High-confidence correct prediction for qualitative contrast.,
article_1475,Chuyện thầm kín: 'Ăn vụng' khi vợ bầu,"Một số người, lấy cớ vợ mang bầu để 'ăn vụng', và thường biện minh bằng câu nói: 'Vợ không đủ đáp ứng, đàn ông cũng có nhu cầu'.",Thanh Niên,Other,1,1,0.8894608563090267,0.8894608563090267,TP,correct_clickbait_high_confidence,High-confidence correct prediction for qualitative contrast.,
article_0708,Cô gái 28 tuổi gây sững sờ khi ăn 12kg hàu một lúc,"Dù sở hữu vóc dáng nhỏ nhắn, nhưng sức ăn của cô gái khiến ai cũng đều bất ngờ.",SaoStar,Quốc tế,1,1,0.8767358642212854,0.8767358642212854,TP,correct_clickbait_high_confidence,High-confidence correct prediction for qualitative contrast.,
article_2114,3 câu cửa miệng của con mà phụ huynh phải đặc biệt chú ý,Con bạn có chỉ số EQ cao hay không còn phụ thuộc vào cách dạy dỗ của cha mẹ. Dưới đây là 3 câu cửa miệng của con phụ huynh cần lưu ý.,SaoStar,Giáo dục & Học đường,1,1,0.8529967715216931,0.8529967715216931,TP,correct_clickbait_high_confidence,High-confidence correct prediction for qualitative contrast.,
article_1686,"TP Hồ Chí Minh công bố điểm chuẩn vào lớp 10 chuyên, tích hợp năm 2025 - Báo Tin Tức TTXVN","Ngày 23/6, Sở Giáo dục và Đào tạo TP Hồ Chí Minh đã công bố điểm chuẩn vào lớp 10 chuyên và lớp 10 tích hợp năm học 2025 - 2026.",Báo Mới,Other,0,0,0.0868244780731384,0.9131755219268616,TN,correct_non_clickbait_high_confidence,High-confidence correct prediction for qualitative contrast.,
article_1343,Cục Thi hành án dân sự TP Hồ Chí Minh đẩy nhanh chuyển đổi số trong thi hành án - Báo Công An Nhân Dân,"Nhằm rút ngắn thời gian xử lý, tăng minh bạch và thuận tiện cho người dân, từ ngày 23/6, Cục Thi hành an Dân sự (THADS) TP Hồ Chí Minh áp dụng biên lai điện tử trong thi hành án.",Báo Mới,Other,0,0,0.0880029302497888,0.9119970697502112,TN,correct_non_clickbait_high_confidence,High-confidence correct prediction for qualitative contrast.,
article_3593,"PC Quảng Nam tiếp nhận, bán điện trực tiếp đến hộ dân từ 5 hợp tác xã - Chuyên trang Công an Đà Nẵng - Báo Công an Nhân dân","Công ty Điện lực Quảng Nam (PC Quảng Nam) vừa tiếp nhận lưới điện từ các hợp tác xã (HTX) nông nghiệp Điện Phước 1, Điện Ngọc 1, Điện Thọ 1, Điện Thọ 2 và Điện Hồng 2 (thị xã Điện Bàn), bán lẻ điện trực tiếp đến hộ dân khu vực này. Công ty nhanh chóng triển khai phương án, kế hoạch sửa chữa lưới, nâng cao chất lượng điện năng, đảm bảo minh bạch về ghi chỉ số công tơ, an toàn điện.",Báo Mới,Other,0,0,0.0898115476347701,0.9101884523652299,TN,correct_non_clickbait_high_confidence,High-confidence correct prediction for qualitative contrast.,
article_3787,"TP.HCM công bố điểm chuẩn vào lớp 10 chuyên, tích hợp","Sở GD&ĐT TP.HCM vừa công bố điểm chuẩn vào lớp 10 chuyên, tích hợp năm học 2025-2026.",24h,Giáo dục & Học đường,0,0,0.1069993230404882,0.8930006769595118,TN,correct_non_clickbait_high_confidence,High-confidence correct prediction for qualitative contrast.,
article_0317,Thủ tướng Phạm Minh Chính sắp công tác tại Trung Quốc,Thủ tướng Phạm Minh Chính sẽ dự Hội nghị thường niên các nhà tiên phong lần thứ 16 của WEF và làm việc tại Trung Quốc vào tuần sau.,VnExpress,Quốc tế,0,0,0.1110423072448378,0.8889576927551622,TN,correct_non_clickbait_high_confidence,High-confidence correct prediction for qualitative contrast.,
