id,label,label_str,source,category,duplicate_group,fold
article_0371,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,302,0
article_0375,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,306,0
article_0379,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,310,0
article_0393,0,Non-clickbait,VietNamNet,Tin tức tổng hợp,2557,0
article_0401,0,Non-clickbait,VietNamNet,Tin tức tổng hợp,325,0
article_0405,0,Non-clickbait,VietNamNet,Tin tức tổng hợp,328,0
article_0408,0,Non-clickbait,VietNamNet,Tin tức tổng hợp,331,0
article_0410,0,Non-clickbait,VietNamNet,Tin tức tổng hợp,333,0
article_0411,0,Non-clickbait,VietNamNet,Tin tức tổng hợp,334,0
article_0422,1,Clickbait,Kênh14,Thể thao,343,0
article_0427,0,Non-clickbait,SaoStar,Sức khỏe & Đời sống,348,0
article_0428,1,Clickbait,SaoStar,Sức khỏe & Đời sống,2562,0
article_0435,1,Clickbait,SaoStar,Sức khỏe & Đời sống,354,0
article_0439,0,Non-clickbait,SaoStar,Sức khỏe & Đời sống,355,0
article_0442,1,Clickbait,SaoStar,Sức khỏe & Đời sống,358,0
article_0446,1,Clickbait,SaoStar,Sức khỏe & Đời sống,361,0
article_0448,1,Clickbait,SaoStar,Sức khỏe & Đời sống,2568,0
article_0450,1,Clickbait,SaoStar,Sức khỏe & Đời sống,2569,0
article_0452,0,Non-clickbait,SaoStar,Sức khỏe & Đời sống,364,0
article_0462,0,Non-clickbait,24h,Quốc tế,370,0
article_0463,0,Non-clickbait,24h,Quốc tế,371,0
article_0467,0,Non-clickbait,24h,Quốc tế,375,0
article_0471,0,Non-clickbait,24h,Quốc tế,378,0
article_0474,0,Non-clickbait,24h,Quốc tế,381,0
article_0475,1,Clickbait,24h,Quốc tế,2575,0
article_0486,0,Non-clickbait,24h,Quốc tế,389,0
article_0488,0,Non-clickbait,24h,Quốc tế,391,0
article_0490,0,Non-clickbait,24h,Tin tức tổng hợp,393,0
article_0493,1,Clickbait,24h,Quốc tế,2579,0
article_0495,0,Non-clickbait,Báo Mới,Quốc tế,2581,0
article_0500,0,Non-clickbait,Báo Mới,Quốc tế,400,0
article_0501,0,Non-clickbait,Báo Mới,Quốc tế,401,0
article_0502,0,Non-clickbait,Báo Mới,Quốc tế,402,0
article_0504,1,Clickbait,Báo Mới,Quốc tế,2582,0
article_0511,0,Non-clickbait,Báo Mới,Quốc tế,408,0
article_0516,0,Non-clickbait,Báo Mới,Quốc tế,411,0
article_0521,0,Non-clickbait,Báo Mới,Quốc tế,414,0
article_0527,0,Non-clickbait,Báo Mới,Quốc tế,420,0
article_0536,0,Non-clickbait,Báo Mới,Quốc tế,425,0
article_0541,0,Non-clickbait,Báo Mới,Quốc tế,430,0
article_0542,0,Non-clickbait,Báo Mới,Quốc tế,431,0
article_0551,0,Non-clickbait,Báo Mới,Quốc tế,438,0
article_0562,0,Non-clickbait,VnExpress,Kinh doanh & Kinh tế,445,0
article_0563,0,Non-clickbait,VnExpress,Kinh doanh & Kinh tế,446,0
article_0576,0,Non-clickbait,VnExpress,Kinh doanh & Kinh tế,458,0
article_0585,0,Non-clickbait,VnExpress,Kinh doanh & Kinh tế,465,0
article_0586,0,Non-clickbait,VnExpress,Kinh doanh & Kinh tế,466,0
article_0588,0,Non-clickbait,VnExpress,Kinh doanh & Kinh tế,468,0
article_0589,0,Non-clickbait,VnExpress,Kinh doanh & Kinh tế,469,0
article_0596,0,Non-clickbait,VnExpress,Kinh doanh & Kinh tế,476,0
article_0599,0,Non-clickbait,VnExpress,Kinh doanh & Kinh tế,479,0
article_0608,1,Clickbait,Tuổi Trẻ,Chính trị & An ninh,2598,0
article_0611,0,Non-clickbait,Tuổi Trẻ,Other,490,0
article_0613,0,Non-clickbait,Tuổi Trẻ,Chính trị & An ninh,492,0
article_0615,0,Non-clickbait,Tuổi Trẻ,Chính trị & An ninh,494,0
article_0619,0,Non-clickbait,Tuổi Trẻ,Chính trị & An ninh,496,0
article_0630,0,Non-clickbait,Thanh Niên,Other,506,0
article_0633,0,Non-clickbait,Thanh Niên,Quốc tế,509,0
article_0645,1,Clickbait,Thanh Niên,Quốc tế,2604,0
article_0646,0,Non-clickbait,Thanh Niên,Quốc tế,519,0
article_0649,0,Non-clickbait,Thanh Niên,Other,521,0
article_0658,0,Non-clickbait,Thanh Niên,Other,2611,0
article_0659,1,Clickbait,Thanh Niên,Other,2612,0
article_0664,0,Non-clickbait,VietNamNet,Kinh doanh & Kinh tế,526,0
article_0666,1,Clickbait,VietNamNet,Kinh doanh & Kinh tế,2616,0
article_0667,1,Clickbait,VietNamNet,Kinh doanh & Kinh tế,2617,0
article_0671,0,Non-clickbait,VietNamNet,Kinh doanh & Kinh tế,529,0
article_0672,0,Non-clickbait,VietNamNet,Kinh doanh & Kinh tế,530,0
article_0676,0,Non-clickbait,VietNamNet,Kinh doanh & Kinh tế,533,0
article_0677,0,Non-clickbait,VietNamNet,Kinh doanh & Kinh tế,534,0
article_0687,1,Clickbait,VietNamNet,Kinh doanh & Kinh tế,543,0
article_0689,0,Non-clickbait,VietNamNet,Kinh doanh & Kinh tế,545,0
article_0691,0,Non-clickbait,VietNamNet,Kinh doanh & Kinh tế,547,0
article_0694,1,Clickbait,Kênh14,Giải trí & Showbiz,550,0
article_0706,0,Non-clickbait,SaoStar,Quốc tế,2630,0
article_0707,1,Clickbait,SaoStar,Quốc tế,2631,0
article_0722,1,Clickbait,SaoStar,Quốc tế,2641,0
article_0724,1,Clickbait,SaoStar,Quốc tế,559,0
article_0726,1,Clickbait,SaoStar,Quốc tế,2644,0
article_0729,1,Clickbait,24h,Chính trị & An ninh,2646,0
article_0742,0,Non-clickbait,24h,Chính trị & An ninh,567,0
article_0744,0,Non-clickbait,24h,Chính trị & An ninh,569,0
article_0752,0,Non-clickbait,24h,Chính trị & An ninh,577,0
article_0760,0,Non-clickbait,Báo Mới,Tin tức tổng hợp,584,0
article_0769,0,Non-clickbait,Báo Mới,Tin tức tổng hợp,593,0
article_0770,0,Non-clickbait,Báo Mới,Tin tức tổng hợp,594,0
article_0771,0,Non-clickbait,Báo Mới,Tin tức tổng hợp,595,0
article_0782,0,Non-clickbait,Báo Mới,Tin tức tổng hợp,606,0
article_0785,0,Non-clickbait,Báo Mới,Other,609,0
article_0793,0,Non-clickbait,Báo Mới,Tin tức tổng hợp,617,0
article_0806,0,Non-clickbait,Báo Mới,Tin tức tổng hợp,630,0
article_0807,0,Non-clickbait,Báo Mới,Other,631,0
article_0809,0,Non-clickbait,Báo Mới,Other,633,0
article_0810,0,Non-clickbait,Báo Mới,Tin tức tổng hợp,634,0
article_0812,0,Non-clickbait,Báo Mới,Other,636,0
article_0814,1,Clickbait,Báo Mới,Other,2654,0
article_0818,0,Non-clickbait,Báo Mới,Tin tức tổng hợp,641,0
article_0833,0,Non-clickbait,VnExpress,Công nghệ & Khoa học,652,0
article_0849,0,Non-clickbait,VnExpress,Công nghệ & Khoa học,666,0
article_0850,0,Non-clickbait,VnExpress,Công nghệ & Khoa học,667,0
article_0861,0,Non-clickbait,VnExpress,Công nghệ & Khoa học,678,0
article_0865,0,Non-clickbait,VnExpress,Công nghệ & Khoa học,682,0
article_0869,0,Non-clickbait,VnExpress,Công nghệ & Khoa học,686,0
article_0874,0,Non-clickbait,VnExpress,Công nghệ & Khoa học,691,0
article_0878,0,Non-clickbait,Tuổi Trẻ,Quốc tế,694,0
article_0881,0,Non-clickbait,Tuổi Trẻ,Other,697,0
article_0887,0,Non-clickbait,Tuổi Trẻ,Other,701,0
article_0891,0,Non-clickbait,Tuổi Trẻ,Kinh doanh & Kinh tế,705,0
article_0899,0,Non-clickbait,Thanh Niên,Other,711,0
article_0902,0,Non-clickbait,Thanh Niên,Other,714,0
article_0906,0,Non-clickbait,Thanh Niên,Kinh doanh & Kinh tế,718,0
article_0912,0,Non-clickbait,Thanh Niên,Other,722,0
article_0919,0,Non-clickbait,Thanh Niên,Other,729,0
article_0924,1,Clickbait,Thanh Niên,Other,2665,0
article_0925,0,Non-clickbait,Thanh Niên,Other,733,0
article_0926,0,Non-clickbait,Thanh Niên,Other,734,0
article_0929,0,Non-clickbait,Thanh Niên,Other,736,0
article_0931,1,Clickbait,Thanh Niên,Other,738,0
article_0935,1,Clickbait,Thanh Niên,Other,2668,0
article_0936,1,Clickbait,Thanh Niên,Other,2669,0
article_0938,0,Non-clickbait,VietNamNet,Thể thao,742,0
article_0939,0,Non-clickbait,VietNamNet,Thể thao,743,0
article_0942,1,Clickbait,VietNamNet,Thể thao,746,0
article_0943,0,Non-clickbait,VietNamNet,Thể thao,747,0
article_0945,0,Non-clickbait,VietNamNet,Thể thao,748,0
article_0947,1,Clickbait,VietNamNet,Thể thao,2672,0
article_0955,0,Non-clickbait,VietNamNet,Thể thao,2674,0
article_0960,1,Clickbait,VietNamNet,Thể thao,2676,0
article_0963,0,Non-clickbait,VietNamNet,Thể thao,760,0
article_0965,0,Non-clickbait,VietNamNet,Thể thao,762,0
article_0968,1,Clickbait,Kênh14,Giải trí & Showbiz,765,0
article_0969,1,Clickbait,Kênh14,Giải trí & Showbiz,766,0
article_0973,1,Clickbait,Kênh14,Giải trí & Showbiz,770,0
article_0977,0,Non-clickbait,SaoStar,Giải trí & Showbiz,2677,0
article_0982,1,Clickbait,SaoStar,Giải trí & Showbiz,2681,0
article_0983,1,Clickbait,SaoStar,Giải trí & Showbiz,775,0
article_0989,1,Clickbait,SaoStar,Giải trí & Showbiz,2687,0
article_0993,1,Clickbait,SaoStar,Giải trí & Showbiz,778,0
article_0994,1,Clickbait,SaoStar,Giải trí & Showbiz,779,0
article_0999,1,Clickbait,SaoStar,Giải trí & Showbiz,783,0
article_1002,1,Clickbait,SaoStar,Giải trí & Showbiz,2690,0
article_1008,1,Clickbait,24h,Kinh doanh & Kinh tế,787,0
article_1015,0,Non-clickbait,24h,Kinh doanh & Kinh tế,2700,0
article_1023,0,Non-clickbait,24h,Kinh doanh & Kinh tế,788,0
article_1034,1,Clickbait,24h,Kinh doanh & Kinh tế,2713,0
article_1035,1,Clickbait,24h,Kinh doanh & Kinh tế,793,0
article_1036,1,Clickbait,24h,Kinh doanh & Kinh tế,794,0
article_1049,0,Non-clickbait,Báo Mới,Other,804,0
article_1059,0,Non-clickbait,Báo Mới,Văn hóa & Nghệ thuật,812,0
article_1062,0,Non-clickbait,Báo Mới,Văn hóa & Nghệ thuật,815,0
article_1070,0,Non-clickbait,Báo Mới,Other,823,0
article_1073,1,Clickbait,Báo Mới,Other,2718,0
article_1074,1,Clickbait,Báo Mới,Văn hóa & Nghệ thuật,2719,0
article_1075,1,Clickbait,Báo Mới,Other,2720,0
article_1078,0,Non-clickbait,Báo Mới,Văn hóa & Nghệ thuật,826,0
article_1081,0,Non-clickbait,Báo Mới,Văn hóa & Nghệ thuật,829,0
article_1093,0,Non-clickbait,Báo Mới,Văn hóa & Nghệ thuật,840,0
article_1096,1,Clickbait,Báo Mới,Other,2724,0
article_1100,1,Clickbait,Báo Mới,Other,846,0
article_1101,0,Non-clickbait,Báo Mới,Other,847,0
article_1102,0,Non-clickbait,Báo Mới,Văn hóa & Nghệ thuật,848,0
article_1110,0,Non-clickbait,VnExpress,Other,853,0
article_1123,0,Non-clickbait,VnExpress,Other,865,0
article_1128,0,Non-clickbait,VnExpress,Other,870,0
article_1130,0,Non-clickbait,VnExpress,Other,872,0
article_1133,0,Non-clickbait,VnExpress,Other,874,0
article_1136,0,Non-clickbait,VnExpress,Other,877,0
article_1137,0,Non-clickbait,VnExpress,Other,878,0
article_1139,0,Non-clickbait,VnExpress,Other,880,0
article_1142,0,Non-clickbait,VnExpress,Other,883,0
article_1143,0,Non-clickbait,VnExpress,Other,884,0
article_1146,0,Non-clickbait,VnExpress,Other,887,0
article_1148,0,Non-clickbait,VnExpress,Other,889,0
article_1152,0,Non-clickbait,VnExpress,Other,893,0
article_1154,0,Non-clickbait,VnExpress,Other,895,0
article_1164,1,Clickbait,VnExpress,Other,2727,0
article_1184,1,Clickbait,Tuổi Trẻ,Công nghệ & Khoa học,2736,0
article_1191,1,Clickbait,Thanh Niên,Other,2742,0
article_1197,1,Clickbait,Thanh Niên,Sức khỏe & Đời sống,2746,0
article_1199,0,Non-clickbait,Thanh Niên,Sức khỏe & Đời sống,920,0
article_1205,1,Clickbait,Thanh Niên,Sức khỏe & Đời sống,2749,0
article_1217,0,Non-clickbait,Thanh Niên,Other,932,0
article_1220,0,Non-clickbait,Thanh Niên,Sức khỏe & Đời sống,935,0
article_1231,1,Clickbait,Thanh Niên,Other,2757,0
article_1234,1,Clickbait,Thanh Niên,Sức khỏe & Đời sống,2758,0
article_1235,0,Non-clickbait,Thanh Niên,Other,944,0
article_1236,1,Clickbait,Thanh Niên,Other,2759,0
article_1240,0,Non-clickbait,Thanh Niên,Other,2760,0
article_1246,0,Non-clickbait,VietNamNet,Giáo dục & Học đường,952,0
article_1256,1,Clickbait,VietNamNet,Giáo dục & Học đường,2766,0
article_1260,1,Clickbait,Kênh14,Giải trí & Showbiz,960,0
article_1264,1,Clickbait,SaoStar,Giải trí & Showbiz,964,0
article_1290,1,Clickbait,SaoStar,Giải trí & Showbiz,2787,0
article_1295,1,Clickbait,24h,Other,973,0
article_1301,1,Clickbait,24h,Kinh doanh & Kinh tế,2793,0
article_1304,1,Clickbait,24h,Kinh doanh & Kinh tế,2795,0
article_1307,1,Clickbait,24h,Kinh doanh & Kinh tế,977,0
article_1310,0,Non-clickbait,24h,Kinh doanh & Kinh tế,979,0
article_1313,0,Non-clickbait,24h,Kinh doanh & Kinh tế,981,0
article_1317,1,Clickbait,24h,Kinh doanh & Kinh tế,983,0
article_1322,1,Clickbait,Báo Mới,Other,2804,0
article_1325,0,Non-clickbait,Báo Mới,Other,988,0
article_1330,0,Non-clickbait,Báo Mới,Kinh doanh & Kinh tế,993,0
article_1334,0,Non-clickbait,Báo Mới,Other,995,0
article_1341,0,Non-clickbait,Báo Mới,Other,999,0
article_1342,0,Non-clickbait,Báo Mới,Other,1000,0
article_1343,0,Non-clickbait,Báo Mới,Other,1001,0
article_1344,0,Non-clickbait,Báo Mới,Other,1002,0
article_1347,0,Non-clickbait,Báo Mới,Other,1005,0
article_1348,0,Non-clickbait,Báo Mới,Other,1006,0
article_1351,0,Non-clickbait,Báo Mới,Kinh doanh & Kinh tế,1009,0
article_1354,1,Clickbait,Báo Mới,Other,2810,0
article_1362,0,Non-clickbait,Báo Mới,Kinh doanh & Kinh tế,1018,0
article_1363,0,Non-clickbait,Báo Mới,Other,1019,0
article_1367,0,Non-clickbait,Báo Mới,Kinh doanh & Kinh tế,1023,0
article_1368,0,Non-clickbait,Báo Mới,Kinh doanh & Kinh tế,1024,0
article_1372,0,Non-clickbait,Báo Mới,Kinh doanh & Kinh tế,1028,0
article_1377,0,Non-clickbait,VnExpress,Other,1032,0
article_1379,1,Clickbait,VnExpress,Other,2812,0
article_1388,1,Clickbait,VnExpress,Other,2817,0
article_1391,0,Non-clickbait,VnExpress,Other,1038,0
article_1399,0,Non-clickbait,VnExpress,Other,1044,0
article_1400,0,Non-clickbait,VnExpress,Other,1045,0
article_1401,0,Non-clickbait,VnExpress,Other,1046,0
article_1406,0,Non-clickbait,VnExpress,Other,1051,0
article_1409,0,Non-clickbait,VnExpress,Other,1053,0
article_1411,0,Non-clickbait,VnExpress,Other,1054,0
article_1414,0,Non-clickbait,VnExpress,Other,1056,0
article_1421,0,Non-clickbait,VnExpress,Other,1062,0
article_1422,0,Non-clickbait,VnExpress,Other,1063,0
article_1431,1,Clickbait,Tuổi Trẻ,Xe & Vận tải,2822,0
article_1435,0,Non-clickbait,Tuổi Trẻ,Xe & Vận tải,1072,0
article_1438,1,Clickbait,Tuổi Trẻ,Xe & Vận tải,2824,0
article_1447,1,Clickbait,Thanh Niên,Sức khỏe & Đời sống,1076,0
article_1448,1,Clickbait,Thanh Niên,Sức khỏe & Đời sống,2830,0
article_1457,0,Non-clickbait,Thanh Niên,Sức khỏe & Đời sống,1077,0
article_1459,1,Clickbait,Thanh Niên,Sức khỏe & Đời sống,2838,0
article_1462,1,Clickbait,Thanh Niên,Sức khỏe & Đời sống,2841,0
article_1480,0,Non-clickbait,Thanh Niên,Sức khỏe & Đời sống,1087,0
article_1482,0,Non-clickbait,Thanh Niên,Sức khỏe & Đời sống,1089,0
article_1499,0,Non-clickbait,Thanh Niên,Other,1099,0
article_1501,0,Non-clickbait,VietNamNet,Quốc tế,1101,0
article_1524,0,Non-clickbait,VietNamNet,Quốc tế,1123,0
article_1526,0,Non-clickbait,VietNamNet,Quốc tế,1125,0
article_1529,0,Non-clickbait,VietNamNet,Quốc tế,1128,0
article_1537,0,Non-clickbait,Kênh14,Other,1132,0
article_1564,1,Clickbait,SaoStar,Thể thao,1150,0
article_1568,0,Non-clickbait,24h,Thể thao,1153,0
article_1581,0,Non-clickbait,24h,Thể thao,1165,0
article_1596,0,Non-clickbait,24h,Thể thao,1176,0
article_1598,1,Clickbait,24h,Thể thao,2866,0
article_1600,1,Clickbait,24h,Thể thao,2867,0
article_1620,0,Non-clickbait,24h,Thể thao,1192,0
article_1624,1,Clickbait,24h,Thể thao,2873,0
article_1626,0,Non-clickbait,24h,Thể thao,1195,0
article_1638,0,Non-clickbait,Báo Mới,Giáo dục & Học đường,1204,0
article_1649,0,Non-clickbait,Báo Mới,Giáo dục & Học đường,1215,0
article_1656,0,Non-clickbait,Báo Mới,Giáo dục & Học đường,1222,0
article_1675,0,Non-clickbait,Báo Mới,Giáo dục & Học đường,1241,0
article_1680,0,Non-clickbait,Báo Mới,Giáo dục & Học đường,1246,0
article_1682,0,Non-clickbait,Báo Mới,Other,1248,0
article_1684,0,Non-clickbait,Báo Mới,Giáo dục & Học đường,1249,0
article_1689,0,Non-clickbait,Báo Mới,Other,1254,0
article_1690,0,Non-clickbait,Báo Mới,Giáo dục & Học đường,1255,0
article_1691,0,Non-clickbait,Báo Mới,Giáo dục & Học đường,1256,0
article_1692,0,Non-clickbait,Báo Mới,Giáo dục & Học đường,1257,0
article_1711,0,Non-clickbait,VnExpress,Thể thao,1268,0
article_1713,0,Non-clickbait,VnExpress,Thể thao,1269,0
article_1725,0,Non-clickbait,VnExpress,Thể thao,1275,0
article_1730,0,Non-clickbait,VnExpress,Thể thao,2880,0
article_1732,0,Non-clickbait,VnExpress,Thể thao,1279,0
article_1736,0,Non-clickbait,VnExpress,Thể thao,1283,0
article_1745,0,Non-clickbait,VnExpress,Thể thao,1292,0
article_1749,0,Non-clickbait,VnExpress,Thể thao,1294,0
article_1752,0,Non-clickbait,VnExpress,Thể thao,1296,0
article_1755,0,Non-clickbait,VnExpress,Thể thao,1299,0
article_1760,0,Non-clickbait,Tuổi Trẻ,Du lịch & Ẩm thực,1303,0
article_1761,1,Clickbait,Tuổi Trẻ,Du lịch & Ẩm thực,2882,0
article_1765,0,Non-clickbait,Tuổi Trẻ,Du lịch & Ẩm thực,1306,0
article_1771,0,Non-clickbait,Tuổi Trẻ,Other,1311,0
article_1772,0,Non-clickbait,Tuổi Trẻ,Du lịch & Ẩm thực,1312,0
article_1779,0,Non-clickbait,Thanh Niên,Giáo dục & Học đường,1319,0
article_1790,1,Clickbait,Thanh Niên,Giáo dục & Học đường,2887,0
article_1797,1,Clickbait,Thanh Niên,Other,2889,0
article_1803,0,Non-clickbait,Thanh Niên,Giáo dục & Học đường,1335,0
article_1804,1,Clickbait,Thanh Niên,Giáo dục & Học đường,2890,0
article_1807,0,Non-clickbait,Thanh Niên,Giáo dục & Học đường,1338,0
article_1811,0,Non-clickbait,Thanh Niên,Giáo dục & Học đường,1341,0
article_1817,0,Non-clickbait,Thanh Niên,Giáo dục & Học đường,1345,0
article_1825,0,Non-clickbait,Thanh Niên,Giáo dục & Học đường,1351,0
article_1830,1,Clickbait,VietNamNet,Sức khỏe & Đời sống,2894,0
article_1866,1,Clickbait,SaoStar,Sức khỏe & Đời sống,2901,0
article_1869,1,Clickbait,SaoStar,Sức khỏe & Đời sống,2904,0
article_1881,1,Clickbait,SaoStar,Sức khỏe & Đời sống,2912,0
article_1889,1,Clickbait,SaoStar,Sức khỏe & Đời sống,1370,0
article_1890,1,Clickbait,SaoStar,Sức khỏe & Đời sống,2920,0
article_1892,1,Clickbait,SaoStar,Sức khỏe & Đời sống,2922,0
article_1897,0,Non-clickbait,24h,Thể thao,1373,0
article_1902,0,Non-clickbait,24h,Thể thao,1377,0
article_1911,0,Non-clickbait,24h,Thể thao,1385,0
article_1919,1,Clickbait,Báo Mới,Thể thao,2925,0
article_1928,0,Non-clickbait,Báo Mới,Thể thao,1398,0
article_1930,1,Clickbait,Báo Mới,Other,2927,0
article_1937,1,Clickbait,Báo Mới,Thể thao,2930,0
article_1940,0,Non-clickbait,Báo Mới,Thể thao,1404,0
article_1942,0,Non-clickbait,Báo Mới,Thể thao,1406,0
article_1947,0,Non-clickbait,Báo Mới,Thể thao,1410,0
article_1951,0,Non-clickbait,Báo Mới,Other,1412,0
article_1970,0,Non-clickbait,VnExpress,Other,1421,0
article_1971,0,Non-clickbait,VnExpress,Other,1422,0
article_1977,1,Clickbait,VnExpress,Other,2940,0
article_1980,0,Non-clickbait,VnExpress,Other,1428,0
article_1981,0,Non-clickbait,VnExpress,Other,1429,0
article_1990,0,Non-clickbait,VnExpress,Other,1436,0
article_2007,0,Non-clickbait,VnExpress,Other,1448,0
article_2014,0,Non-clickbait,Tuổi Trẻ,Văn hóa & Nghệ thuật,1451,0
article_2017,0,Non-clickbait,Tuổi Trẻ,Văn hóa & Nghệ thuật,1454,0
article_2018,0,Non-clickbait,Tuổi Trẻ,Văn hóa & Nghệ thuật,1455,0
article_2019,0,Non-clickbait,Tuổi Trẻ,Văn hóa & Nghệ thuật,1456,0
article_2022,0,Non-clickbait,Tuổi Trẻ,Văn hóa & Nghệ thuật,1459,0
article_2031,1,Clickbait,Thanh Niên,Chính trị & An ninh,2949,0
article_2034,1,Clickbait,Thanh Niên,Other,1466,0
article_2039,0,Non-clickbait,Thanh Niên,Du lịch & Ẩm thực,1470,0
article_2050,0,Non-clickbait,Thanh Niên,Other,1478,0
article_2051,0,Non-clickbait,Thanh Niên,Du lịch & Ẩm thực,1479,0
