id,label,label_str,source,category,duplicate_group,heldout_source,split
article_0057,0,Non-clickbait,Tuổi Trẻ,Kinh doanh & Kinh tế,51,24h,train
article_0058,0,Non-clickbait,Tuổi Trẻ,Other,52,24h,train
article_0060,1,Clickbait,Tuổi Trẻ,Other,53,24h,train
article_0061,1,Clickbait,Tuổi Trẻ,Other,54,24h,train
article_0063,0,Non-clickbait,Tuổi Trẻ,Chính trị & An ninh,55,24h,train
article_0065,0,Non-clickbait,Tuổi Trẻ,Other,56,24h,train
article_0066,0,Non-clickbait,Tuổi Trẻ,Other,57,24h,train
article_0067,0,Non-clickbait,Tuổi Trẻ,Other,58,24h,train
article_0068,0,Non-clickbait,Tuổi Trẻ,Other,59,24h,train
article_0069,1,Clickbait,Tuổi Trẻ,Other,60,24h,train
article_0070,0,Non-clickbait,Tuổi Trẻ,Other,61,24h,train
article_0071,0,Non-clickbait,Thanh Niên,Chính trị & An ninh,62,24h,train
article_0072,0,Non-clickbait,Thanh Niên,Chính trị & An ninh,63,24h,train
article_0073,0,Non-clickbait,Thanh Niên,Chính trị & An ninh,64,24h,train
article_0074,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,65,24h,train
article_0075,0,Non-clickbait,Thanh Niên,Chính trị & An ninh,66,24h,train
article_0076,0,Non-clickbait,Thanh Niên,Chính trị & An ninh,67,24h,train
article_0077,0,Non-clickbait,Thanh Niên,Other,68,24h,train
article_0078,0,Non-clickbait,Thanh Niên,Chính trị & An ninh,69,24h,train
article_0079,0,Non-clickbait,Thanh Niên,Chính trị & An ninh,70,24h,train
article_0080,0,Non-clickbait,Thanh Niên,Chính trị & An ninh,71,24h,train
article_0081,0,Non-clickbait,Thanh Niên,Chính trị & An ninh,72,24h,train
article_0082,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,73,24h,train
article_0083,0,Non-clickbait,Thanh Niên,Chính trị & An ninh,74,24h,train
article_0084,0,Non-clickbait,Thanh Niên,Chính trị & An ninh,75,24h,train
article_0085,0,Non-clickbait,Thanh Niên,Chính trị & An ninh,76,24h,train
article_0086,0,Non-clickbait,Thanh Niên,Chính trị & An ninh,77,24h,train
article_0087,0,Non-clickbait,Thanh Niên,Chính trị & An ninh,78,24h,train
article_0088,0,Non-clickbait,Thanh Niên,Chính trị & An ninh,79,24h,train
article_0090,0,Non-clickbait,Thanh Niên,Chính trị & An ninh,80,24h,train
article_0091,0,Non-clickbait,Thanh Niên,Chính trị & An ninh,81,24h,train
article_0092,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,82,24h,train
article_0093,0,Non-clickbait,Thanh Niên,Chính trị & An ninh,83,24h,train
article_0094,0,Non-clickbait,Thanh Niên,Chính trị & An ninh,84,24h,train
article_0095,0,Non-clickbait,Thanh Niên,Chính trị & An ninh,85,24h,train
article_0096,0,Non-clickbait,Thanh Niên,Other,86,24h,train
article_0097,0,Non-clickbait,Thanh Niên,Chính trị & An ninh,87,24h,train
article_0098,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,88,24h,train
article_0099,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,89,24h,train
article_0100,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,90,24h,train
article_0101,0,Non-clickbait,Thanh Niên,Chính trị & An ninh,91,24h,train
article_0102,0,Non-clickbait,Thanh Niên,Other,92,24h,train
article_0103,0,Non-clickbait,Thanh Niên,Chính trị & An ninh,93,24h,train
article_0104,0,Non-clickbait,Thanh Niên,Other,94,24h,train
article_0105,0,Non-clickbait,Thanh Niên,Other,95,24h,train
article_0106,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,96,24h,train
article_0107,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,97,24h,train
article_0108,0,Non-clickbait,Thanh Niên,Other,98,24h,train
article_0109,0,Non-clickbait,VietNamNet,Chính trị & An ninh,99,24h,train
article_0110,0,Non-clickbait,VietNamNet,Chính trị & An ninh,100,24h,train
article_0111,0,Non-clickbait,VietNamNet,Chính trị & An ninh,101,24h,train
article_0112,0,Non-clickbait,VietNamNet,Chính trị & An ninh,102,24h,train
article_0113,0,Non-clickbait,VietNamNet,Chính trị & An ninh,103,24h,train
article_0114,0,Non-clickbait,VietNamNet,Chính trị & An ninh,104,24h,train
article_0115,0,Non-clickbait,VietNamNet,Chính trị & An ninh,105,24h,train
article_0117,0,Non-clickbait,VietNamNet,Chính trị & An ninh,106,24h,train
article_0118,0,Non-clickbait,VietNamNet,Chính trị & An ninh,107,24h,train
article_0119,0,Non-clickbait,VietNamNet,Chính trị & An ninh,108,24h,train
article_0120,0,Non-clickbait,VietNamNet,Chính trị & An ninh,109,24h,train
article_0121,0,Non-clickbait,VietNamNet,Chính trị & An ninh,110,24h,train
article_0122,0,Non-clickbait,VietNamNet,Chính trị & An ninh,111,24h,train
article_0123,0,Non-clickbait,VietNamNet,Chính trị & An ninh,112,24h,train
article_0124,0,Non-clickbait,VietNamNet,Chính trị & An ninh,113,24h,train
article_0125,0,Non-clickbait,VietNamNet,Chính trị & An ninh,114,24h,train
article_0126,0,Non-clickbait,VietNamNet,Chính trị & An ninh,115,24h,train
article_0127,0,Non-clickbait,VietNamNet,Chính trị & An ninh,116,24h,train
article_0128,0,Non-clickbait,VietNamNet,Chính trị & An ninh,117,24h,train
article_0129,0,Non-clickbait,VietNamNet,Chính trị & An ninh,118,24h,train
article_0130,0,Non-clickbait,VietNamNet,Chính trị & An ninh,119,24h,train
article_0131,0,Non-clickbait,VietNamNet,Chính trị & An ninh,120,24h,train
article_0132,0,Non-clickbait,VietNamNet,Chính trị & An ninh,121,24h,train
article_0133,0,Non-clickbait,VietNamNet,Chính trị & An ninh,122,24h,train
article_0134,0,Non-clickbait,VietNamNet,Chính trị & An ninh,123,24h,train
article_0135,0,Non-clickbait,VietNamNet,Chính trị & An ninh,124,24h,train
article_0136,0,Non-clickbait,VietNamNet,Chính trị & An ninh,125,24h,train
article_0137,0,Non-clickbait,VietNamNet,Chính trị & An ninh,126,24h,train
article_0138,0,Non-clickbait,VietNamNet,Chính trị & An ninh,127,24h,train
article_0150,1,Clickbait,SaoStar,Giải trí & Showbiz,128,24h,train
article_0151,1,Clickbait,SaoStar,Giải trí & Showbiz,129,24h,train
article_0152,1,Clickbait,SaoStar,Giải trí & Showbiz,130,24h,train
article_0153,1,Clickbait,SaoStar,Giải trí & Showbiz,131,24h,train
article_0154,1,Clickbait,SaoStar,Giải trí & Showbiz,132,24h,train
article_0155,1,Clickbait,SaoStar,Giải trí & Showbiz,133,24h,train
article_0156,1,Clickbait,SaoStar,Giải trí & Showbiz,134,24h,train
article_0157,1,Clickbait,SaoStar,Giải trí & Showbiz,135,24h,train
article_0158,1,Clickbait,SaoStar,Giải trí & Showbiz,136,24h,train
article_0162,1,Clickbait,SaoStar,Giải trí & Showbiz,137,24h,train
article_0163,1,Clickbait,SaoStar,Giải trí & Showbiz,138,24h,train
article_0164,1,Clickbait,SaoStar,Giải trí & Showbiz,139,24h,train
article_0165,1,Clickbait,SaoStar,Giải trí & Showbiz,140,24h,train
article_0166,1,Clickbait,SaoStar,Giải trí & Showbiz,141,24h,train
article_0167,1,Clickbait,SaoStar,Giải trí & Showbiz,142,24h,train
article_0169,1,Clickbait,SaoStar,Giải trí & Showbiz,143,24h,train
article_0170,1,Clickbait,SaoStar,Giải trí & Showbiz,144,24h,train
article_0171,1,Clickbait,SaoStar,Giải trí & Showbiz,145,24h,train
article_0172,1,Clickbait,SaoStar,Giải trí & Showbiz,146,24h,train
article_0173,1,Clickbait,SaoStar,Giải trí & Showbiz,147,24h,train
article_0174,1,Clickbait,SaoStar,Giải trí & Showbiz,148,24h,train
article_0175,1,Clickbait,SaoStar,Giải trí & Showbiz,149,24h,train
article_0176,1,Clickbait,SaoStar,Giải trí & Showbiz,150,24h,train
article_0177,0,Non-clickbait,24h,Tin tức tổng hợp,151,24h,test
article_0178,0,Non-clickbait,24h,Tin tức tổng hợp,152,24h,test
article_0179,0,Non-clickbait,24h,Tin tức tổng hợp,153,24h,test
article_0180,0,Non-clickbait,24h,Tin tức tổng hợp,154,24h,test
article_0181,0,Non-clickbait,24h,Tin tức tổng hợp,155,24h,test
article_0182,0,Non-clickbait,24h,Tin tức tổng hợp,156,24h,test
article_0183,0,Non-clickbait,24h,Tin tức tổng hợp,157,24h,test
article_0184,0,Non-clickbait,24h,Tin tức tổng hợp,158,24h,test
article_0185,0,Non-clickbait,24h,Tin tức tổng hợp,159,24h,test
article_0186,0,Non-clickbait,24h,Tin tức tổng hợp,160,24h,test
article_0188,0,Non-clickbait,24h,Tin tức tổng hợp,161,24h,test
article_0189,0,Non-clickbait,24h,Tin tức tổng hợp,162,24h,test
article_0190,0,Non-clickbait,24h,Tin tức tổng hợp,163,24h,test
article_0191,0,Non-clickbait,24h,Tin tức tổng hợp,164,24h,test
article_0192,0,Non-clickbait,24h,Tin tức tổng hợp,165,24h,test
article_0193,0,Non-clickbait,24h,Giải trí & Showbiz,166,24h,test
article_0196,0,Non-clickbait,24h,Tin tức tổng hợp,167,24h,test
article_0198,0,Non-clickbait,24h,Tin tức tổng hợp,168,24h,test
article_0199,0,Non-clickbait,24h,Tin tức tổng hợp,169,24h,test
article_0200,0,Non-clickbait,24h,Giải trí & Showbiz,170,24h,test
article_0201,0,Non-clickbait,24h,Tin tức tổng hợp,171,24h,test
article_0202,0,Non-clickbait,24h,Tin tức tổng hợp,172,24h,test
article_0203,0,Non-clickbait,24h,Tin tức tổng hợp,173,24h,test
article_0204,0,Non-clickbait,24h,Tin tức tổng hợp,174,24h,test
article_0205,0,Non-clickbait,24h,Tin tức tổng hợp,175,24h,test
article_0206,1,Clickbait,24h,Tin tức tổng hợp,176,24h,test
article_0207,0,Non-clickbait,24h,Tin tức tổng hợp,177,24h,test
article_0208,0,Non-clickbait,24h,Tin tức tổng hợp,178,24h,test
article_0209,0,Non-clickbait,24h,Tin tức tổng hợp,179,24h,test
article_0210,0,Non-clickbait,24h,Tin tức tổng hợp,180,24h,test
article_0211,0,Non-clickbait,24h,Tin tức tổng hợp,181,24h,test
article_0212,1,Clickbait,24h,Tin tức tổng hợp,182,24h,test
article_0216,0,Non-clickbait,24h,Quốc tế,183,24h,test
article_0217,0,Non-clickbait,24h,Quốc tế,184,24h,test
article_0219,0,Non-clickbait,24h,Quốc tế,185,24h,test
article_0220,0,Non-clickbait,Báo Mới,Thể thao,186,24h,train
article_0225,1,Clickbait,Báo Mới,Thể thao,187,24h,train
article_0226,1,Clickbait,Báo Mới,Thể thao,188,24h,train
article_0227,1,Clickbait,Báo Mới,Thể thao,189,24h,train
article_0228,1,Clickbait,Báo Mới,Thể thao,190,24h,train
article_0230,0,Non-clickbait,Báo Mới,Thể thao,191,24h,train
article_0234,1,Clickbait,Báo Mới,Thể thao,192,24h,train
article_0235,0,Non-clickbait,Báo Mới,Thể thao,193,24h,train
article_0238,1,Clickbait,Báo Mới,Thể thao,194,24h,train
article_0242,0,Non-clickbait,Báo Mới,Thể thao,195,24h,train
article_0243,0,Non-clickbait,Báo Mới,Thể thao,196,24h,train
article_0244,0,Non-clickbait,Báo Mới,Thể thao,197,24h,train
article_0246,0,Non-clickbait,Báo Mới,Thể thao,198,24h,train
article_0247,0,Non-clickbait,Báo Mới,Thể thao,199,24h,train
article_0248,0,Non-clickbait,Báo Mới,Thể thao,200,24h,train
article_0249,0,Non-clickbait,Báo Mới,Thể thao,201,24h,train
article_0250,0,Non-clickbait,Báo Mới,Thể thao,202,24h,train
article_0252,0,Non-clickbait,Báo Mới,Thể thao,203,24h,train
article_0253,0,Non-clickbait,Báo Mới,Thể thao,204,24h,train
article_0254,0,Non-clickbait,Báo Mới,Thể thao,205,24h,train
article_0255,0,Non-clickbait,Báo Mới,Thể thao,206,24h,train
article_0256,0,Non-clickbait,Báo Mới,Thể thao,207,24h,train
article_0257,0,Non-clickbait,Báo Mới,Thể thao,208,24h,train
article_0258,0,Non-clickbait,Báo Mới,Thể thao,209,24h,train
article_0259,1,Clickbait,Báo Mới,Thể thao,210,24h,train
article_0260,0,Non-clickbait,Báo Mới,Thể thao,211,24h,train
article_0261,0,Non-clickbait,Báo Mới,Thể thao,212,24h,train
article_0262,0,Non-clickbait,Báo Mới,Thể thao,213,24h,train
article_0263,0,Non-clickbait,Báo Mới,Thể thao,214,24h,train
article_0264,0,Non-clickbait,Báo Mới,Thể thao,215,24h,train
article_0265,0,Non-clickbait,Báo Mới,Thể thao,216,24h,train
article_0266,0,Non-clickbait,Báo Mới,Thể thao,217,24h,train
article_0267,0,Non-clickbait,Báo Mới,Thể thao,218,24h,train
article_0268,0,Non-clickbait,Báo Mới,Thể thao,219,24h,train
article_0269,1,Clickbait,Báo Mới,Thể thao,220,24h,train
article_0271,0,Non-clickbait,Báo Mới,Thể thao,221,24h,train
article_0273,1,Clickbait,Báo Mới,Thể thao,222,24h,train
article_0274,0,Non-clickbait,Báo Mới,Thể thao,223,24h,train
article_0275,0,Non-clickbait,Báo Mới,Thể thao,224,24h,train
article_0277,0,Non-clickbait,VnExpress,Quốc tế,225,24h,train
article_0279,0,Non-clickbait,VnExpress,Quốc tế,226,24h,train
article_0281,0,Non-clickbait,VnExpress,Quốc tế,227,24h,train
article_0283,0,Non-clickbait,VnExpress,Quốc tế,228,24h,train
article_0284,0,Non-clickbait,VnExpress,Quốc tế,229,24h,train
article_0285,0,Non-clickbait,VnExpress,Quốc tế,230,24h,train
article_0286,0,Non-clickbait,VnExpress,Quốc tế,231,24h,train
article_0287,0,Non-clickbait,VnExpress,Quốc tế,232,24h,train
article_0288,0,Non-clickbait,VnExpress,Quốc tế,233,24h,train
article_0289,0,Non-clickbait,VnExpress,Quốc tế,234,24h,train
article_0290,0,Non-clickbait,VnExpress,Quốc tế,235,24h,train
article_0291,0,Non-clickbait,VnExpress,Quốc tế,236,24h,train
article_0292,0,Non-clickbait,VnExpress,Quốc tế,237,24h,train
article_0293,0,Non-clickbait,VnExpress,Quốc tế,238,24h,train
article_0294,0,Non-clickbait,VnExpress,Quốc tế,239,24h,train
article_0296,0,Non-clickbait,VnExpress,Quốc tế,240,24h,train
article_0297,0,Non-clickbait,VnExpress,Quốc tế,241,24h,train
article_0298,0,Non-clickbait,VnExpress,Quốc tế,242,24h,train
article_0299,0,Non-clickbait,VnExpress,Quốc tế,243,24h,train
article_0300,0,Non-clickbait,VnExpress,Quốc tế,244,24h,train
article_0305,0,Non-clickbait,VnExpress,Quốc tế,245,24h,train
article_0309,0,Non-clickbait,VnExpress,Quốc tế,246,24h,train
article_0310,0,Non-clickbait,VnExpress,Quốc tế,247,24h,train
article_0311,0,Non-clickbait,VnExpress,Quốc tế,248,24h,train
article_0312,0,Non-clickbait,VnExpress,Quốc tế,249,24h,train
article_0313,0,Non-clickbait,VnExpress,Quốc tế,250,24h,train
article_0314,0,Non-clickbait,VnExpress,Quốc tế,251,24h,train
article_0315,0,Non-clickbait,VnExpress,Quốc tế,252,24h,train
article_0316,0,Non-clickbait,VnExpress,Quốc tế,253,24h,train
article_0317,0,Non-clickbait,VnExpress,Quốc tế,254,24h,train
article_0318,0,Non-clickbait,VnExpress,Quốc tế,255,24h,train
article_0319,0,Non-clickbait,VnExpress,Quốc tế,256,24h,train
article_0320,0,Non-clickbait,VnExpress,Quốc tế,257,24h,train
article_0321,0,Non-clickbait,VnExpress,Quốc tế,258,24h,train
article_0322,0,Non-clickbait,VnExpress,Quốc tế,259,24h,train
article_0323,0,Non-clickbait,VnExpress,Quốc tế,260,24h,train
article_0324,0,Non-clickbait,VnExpress,Quốc tế,261,24h,train
article_0325,0,Non-clickbait,VnExpress,Quốc tế,262,24h,train
article_0326,0,Non-clickbait,Tuổi Trẻ,Quốc tế,263,24h,train
article_0327,0,Non-clickbait,Tuổi Trẻ,Kinh doanh & Kinh tế,264,24h,train
article_0328,0,Non-clickbait,Tuổi Trẻ,Quốc tế,265,24h,train
article_0329,0,Non-clickbait,Tuổi Trẻ,Quốc tế,266,24h,train
article_0331,0,Non-clickbait,Tuổi Trẻ,Quốc tế,267,24h,train
article_0332,0,Non-clickbait,Tuổi Trẻ,Quốc tế,268,24h,train
article_0333,0,Non-clickbait,Tuổi Trẻ,Quốc tế,269,24h,train
article_0334,0,Non-clickbait,Tuổi Trẻ,Quốc tế,270,24h,train
article_0335,0,Non-clickbait,Tuổi Trẻ,Quốc tế,271,24h,train
article_0336,0,Non-clickbait,Tuổi Trẻ,Văn hóa & Nghệ thuật,272,24h,train
article_0337,0,Non-clickbait,Tuổi Trẻ,Quốc tế,273,24h,train
article_0339,0,Non-clickbait,Tuổi Trẻ,Other,274,24h,train
article_0340,0,Non-clickbait,Tuổi Trẻ,Other,275,24h,train
article_0341,0,Non-clickbait,Tuổi Trẻ,Quốc tế,276,24h,train
article_0342,0,Non-clickbait,Tuổi Trẻ,Quốc tế,277,24h,train
article_0343,0,Non-clickbait,Tuổi Trẻ,Quốc tế,278,24h,train
article_0344,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,279,24h,train
article_0345,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,280,24h,train
article_0348,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,281,24h,train
article_0349,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,282,24h,train
article_0350,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,283,24h,train
article_0351,0,Non-clickbait,Thanh Niên,Other,284,24h,train
article_0352,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,285,24h,train
article_0353,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,286,24h,train
article_0354,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,287,24h,train
article_0355,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,288,24h,train
article_0356,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,289,24h,train
article_0357,0,Non-clickbait,Thanh Niên,Other,290,24h,train
article_0358,0,Non-clickbait,Thanh Niên,Other,291,24h,train
article_0359,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,292,24h,train
article_0360,0,Non-clickbait,Thanh Niên,Other,293,24h,train
article_0361,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,294,24h,train
article_0362,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,295,24h,train
article_0364,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,296,24h,train
article_0365,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,297,24h,train
article_0367,0,Non-clickbait,Thanh Niên,Other,298,24h,train
article_0368,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,299,24h,train
article_0369,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,300,24h,train
article_0370,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,301,24h,train
article_0371,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,302,24h,train
article_0372,0,Non-clickbait,Thanh Niên,Other,303,24h,train
article_0373,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,304,24h,train
article_0374,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,305,24h,train
article_0375,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,306,24h,train
article_0376,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,307,24h,train
article_0377,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,308,24h,train
article_0378,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,309,24h,train
article_0379,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,310,24h,train
article_0380,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,311,24h,train
article_0381,0,Non-clickbait,Thanh Niên,Other,119,24h,train
article_0382,0,Non-clickbait,Thanh Niên,Other,312,24h,train
article_0383,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,313,24h,train
article_0384,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,314,24h,train
article_0385,0,Non-clickbait,Thanh Niên,Other,315,24h,train
article_0386,0,Non-clickbait,Thanh Niên,Other,316,24h,train
article_0387,0,Non-clickbait,Thanh Niên,Other,317,24h,train
article_0388,0,Non-clickbait,VietNamNet,Tin tức tổng hợp,318,24h,train
article_0389,0,Non-clickbait,VietNamNet,Tin tức tổng hợp,319,24h,train
article_0390,0,Non-clickbait,VietNamNet,Tin tức tổng hợp,320,24h,train
article_0392,0,Non-clickbait,VietNamNet,Tin tức tổng hợp,321,24h,train
article_0396,0,Non-clickbait,VietNamNet,Tin tức tổng hợp,322,24h,train
article_0398,0,Non-clickbait,VietNamNet,Tin tức tổng hợp,323,24h,train
article_0400,0,Non-clickbait,VietNamNet,Tin tức tổng hợp,324,24h,train
article_0401,0,Non-clickbait,VietNamNet,Tin tức tổng hợp,325,24h,train
article_0402,0,Non-clickbait,VietNamNet,Tin tức tổng hợp,326,24h,train
article_0404,0,Non-clickbait,VietNamNet,Tin tức tổng hợp,327,24h,train
article_0405,0,Non-clickbait,VietNamNet,Tin tức tổng hợp,328,24h,train
article_0406,0,Non-clickbait,VietNamNet,Tin tức tổng hợp,329,24h,train
article_0407,0,Non-clickbait,VietNamNet,Tin tức tổng hợp,330,24h,train
article_0408,0,Non-clickbait,VietNamNet,Tin tức tổng hợp,331,24h,train
article_0409,0,Non-clickbait,VietNamNet,Tin tức tổng hợp,332,24h,train
article_0410,0,Non-clickbait,VietNamNet,Tin tức tổng hợp,333,24h,train
article_0411,0,Non-clickbait,VietNamNet,Tin tức tổng hợp,334,24h,train
article_0412,0,Non-clickbait,VietNamNet,Tin tức tổng hợp,335,24h,train
article_0413,0,Non-clickbait,VietNamNet,Tin tức tổng hợp,336,24h,train
article_0414,0,Non-clickbait,VietNamNet,Tin tức tổng hợp,337,24h,train
article_0415,0,Non-clickbait,VietNamNet,Tin tức tổng hợp,338,24h,train
article_0416,0,Non-clickbait,VietNamNet,Tin tức tổng hợp,339,24h,train
article_0418,0,Non-clickbait,VietNamNet,Tin tức tổng hợp,340,24h,train
article_0420,1,Clickbait,Kênh14,Thể thao,341,24h,train
article_0421,1,Clickbait,Kênh14,Thể thao,342,24h,train
article_0422,1,Clickbait,Kênh14,Thể thao,343,24h,train
article_0423,1,Clickbait,Kênh14,Thể thao,344,24h,train
article_0424,1,Clickbait,Kênh14,Thể thao,345,24h,train
article_0425,0,Non-clickbait,Kênh14,Thể thao,346,24h,train
article_0426,1,Clickbait,SaoStar,Sức khỏe & Đời sống,347,24h,train
article_0427,0,Non-clickbait,SaoStar,Sức khỏe & Đời sống,348,24h,train
article_0429,1,Clickbait,SaoStar,Sức khỏe & Đời sống,349,24h,train
article_0430,0,Non-clickbait,SaoStar,Sức khỏe & Đời sống,350,24h,train
article_0431,0,Non-clickbait,SaoStar,Sức khỏe & Đời sống,351,24h,train
article_0432,0,Non-clickbait,SaoStar,Sức khỏe & Đời sống,352,24h,train
article_0433,0,Non-clickbait,SaoStar,Sức khỏe & Đời sống,353,24h,train
article_0435,1,Clickbait,SaoStar,Sức khỏe & Đời sống,354,24h,train
article_0439,0,Non-clickbait,SaoStar,Sức khỏe & Đời sống,355,24h,train
article_0440,0,Non-clickbait,SaoStar,Sức khỏe & Đời sống,356,24h,train
article_0441,0,Non-clickbait,SaoStar,Sức khỏe & Đời sống,357,24h,train
article_0442,1,Clickbait,SaoStar,Sức khỏe & Đời sống,358,24h,train
article_0443,0,Non-clickbait,SaoStar,Sức khỏe & Đời sống,359,24h,train
article_0444,1,Clickbait,SaoStar,Sức khỏe & Đời sống,360,24h,train
article_0446,1,Clickbait,SaoStar,Sức khỏe & Đời sống,361,24h,train
